Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BCH,2018-09-21,465.6406903405,428.79294,466.5,423.697036
BCH,2018-09-22,467.5251059937,465.6406900919,469.9062412266,465.5591876
BCH,2018-09-23,466.5707776378,467.5256755674,468.0824270009,466.2684595489
BCH,2018-09-24,466.6580891831,466.5707776378,467.3207191154,466.4423912841
BCH,2018-09-25,453.2181676258,466.658089185,474.4856027346,447.1724954648
BCH,2018-09-26,434.3424169137,453.2181695237,454.6154719254,424.0484423522
BCH,2018-09-27,530.3536912453,434.3424170798,558.2462260003,433.0767706797
BCH,2018-09-28,563.7756405975,530.3542693495,589.9482906256,513.0549168733
BCH,2018-09-29,519.8790982138,563.7793438131,571.911388808,511.5357793612
BCH,2018-09-30,533.6058537699,520.155528185,560.9562206027,513.0764337682
BCH,2018-10-01,538.5630566483,533.6058746369,553.5818731403,516.5854099743
BCH,2018-10-02,546.7869754442,538.5610297652,553.9255625696,520.0509809985
BCH,2018-10-03,540.6533447838,532.6554183061,544.6433886572,530.9672881465
BCH,2018-10-04,515.3621688377,540.7986629212,540.80025372,506.5260222544
BCH,2018-10-05,516.2137820634,516.5398423917,533.2556635261,508.6760614744
BCH,2018-10-06,523.2447457087,516.2137820634,529.284158272,510.7154410408
BCH,2018-10-07,509.9546737849,521.0392242078,522.8224042527,504.4176449144
BCH,2018-10-08,517.3813942715,509.954673962,519.2151592147,506.0046782634
BCH,2018-10-09,530.5945966044,521.2877979294,534.7361103195,518.1562868191
BCH,2018-10-10,519.8959620057,530.5968174011,532.274723689,516.7510521816
BCH,2018-10-11,515.9529707494,519.3531413884,522.4207239715,510.5297323643
BCH,2018-10-12,445.8671643336,516.4449281333,516.6805650792,440.4080227728
BCH,2018-10-13,445.6127100571,445.8676850328,457.6364506405,428.6454651751
BCH,2018-10-14,455.9028104287,445.6130216214,456.9327826652,444.2902751944
BCH,2018-10-15,448.8354405937,453.7148895658,457.9448431591,445.5963833154
BCH,2018-10-16,467.8218622721,443.8974390464,520.672506992,436.340903067
BCH,2018-10-17,467.4703160626,467.3882646319,482.7919814121,462.7174429774
BCH,2018-10-18,441.4135752054,467.4717974671,472.985443731,439.0744136191
BCH,2018-10-19,428.4336027272,442.1726577421,450.2363891171,423.8842635386
BCH,2018-10-20,436.5642560387,428.4336027242,440.0535180676,425.4556578307
BCH,2018-10-21,444.8932978933,435.5057952508,445.9484677995,431.5680489486
BCH,2018-10-22,444.1023585704,442.8368505693,452.5624077177,442.0895424893
BCH,2018-10-23,443.5889367309,444.4384489884,447.2475005038,436.0968132231
BCH,2018-10-24,438.12929196,443.4351775944,446.3962261853,432.8284551724
BCH,2018-10-25,437.0882482357,438.8018548343,445.7548634988,436.5380103387
BCH,2018-10-26,437.7780005601,437.4396558404,439.9508220511,433.4725103286
BCH,2018-10-27,433.5089629169,437.7779986893,440.3780493677,431.4749342869
BCH,2018-10-28,435.6162262541,433.4354679648,436.9547020098,432.0376586251
BCH,2018-10-29,413.6052390481,437.0490477135,439.0583077289,406.8740690126
BCH,2018-10-31,418.5871552791,413.5676470802,423.091408711,411.8964455124
BCH,2018-11-01,422.9850470348,419.1090320042,431.9986946956,406.9444334538
BCH,2018-11-02,460.6606865369,423.0425496064,471.5709729356,422.4150724283
BCH,2018-11-03,477.9030558526,460.4541207376,484.993082426,455.5081549388
BCH,2018-11-04,562.7700981323,477.9028296432,588.5176456273,475.5282343752
BCH,2018-11-05,548.2572867336,562.7691789528,579.1540906327,536.1629583467
BCH,2018-11-06,621.2007244775,558.7658013508,626.322148507,550.4896712445
BCH,2018-11-08,573.8721246465,621.2866481137,640.4915475,570.005751278
BCH,2018-11-09,533.9737915181,573.7959403749,597.1394767948,524.1639318323
BCH,2018-11-11,524.4148614964,540.1707930491,563.142786867,513.5346532142
BCH,2018-11-13,505.6381364647,531.8915293677,539.817203729,489.1974337493
BCH,2018-11-14,421.1397505861,505.6381312429,519.8838432278,407.0752171609
BCH,2018-11-15,388.244695935,421.2708389115,450.4159672208,383.9862300597
BCH,2018-11-17,331.0274473872,388.0833210963,389.7799353997,316.5926992341
BCH,2018-11-19,286.3623040875,331.0401908514,359.7292412757,269.681357676
BCH,2018-11-20,221.5003400908,286.3622873467,294.1657071411,206.0980834513
BCH,2018-11-21,229.2658709178,228.8362365276,242.5078301075,223.7932517974
BCH,2018-11-23,216.2724948057,229.1757578225,238.5695188858,192.6761677
BCH,2018-11-24,191.89586896,216.2829837401,225.1229350237,190.3542861295
BCH,2018-11-25,193.1880872869,196.2744647466,206.5354584867,162.2903502744
BCH,2018-11-26,198.1547928914,193.1952174699,233.4400204411,185.4836248935
BCH,2018-11-28,207.5344248364,198.0863136771,216.8988107085,187.6693805465
BCH,2018-11-30,200.797830576,209.4752418868,214.999697858,193.7102416645
BCH,2018-12-01,204.8990079706,200.8220550757,211.2510593229,192.2706276173
BCH,2018-12-02,214.1713319227,203.7690631376,220.770577562,203.7166928332
BCH,2018-12-03,191.6646469114,214.1713319226,214.2751162971,187.7950575246
BCH,2018-12-04,186.0791087428,191.6638294756,193.3313231154,176.3005582202
BCH,2018-12-05,129.1607937648,185.9456787344,186.0457032083,129.0512323337
BCH,2018-12-06,108.650267177,128.0196691002,130.4146689376,108.632798692
BCH,2018-12-07,109.0228087744,108.6505109316,115.9880853038,96.2031804338
BCH,2018-12-09,107.4702414016,109.0256283834,111.7073337059,101.2823494447
BCH,2018-12-10,115.2618353754,107.4702912993,120.2861392997,105.5703882267
BCH,2018-12-11,96.1277927352,116.0042754518,122.3301191775,92.4940185309
BCH,2018-12-12,96.3634277368,96.1277927898,99.0113168886,94.4306700363
BCH,2018-12-13,87.2138775789,96.9078930275,97.0770629473,86.6823770507
BCH,2018-12-14,79.4012567139,87.2138944387,88.6884812757,75.7934510261
BCH,2018-12-16,78.7144635049,79.3851242234,81.8205185686,73.5906103869
BCH,2018-12-17,88.025673504,79.0166917881,91.3478344977,78.4068342833
BCH,2018-12-18,105.300091599,88.0265002586,115.7232078829,87.909181686
BCH,2018-12-19,132.5247884949,106.5683428042,144.7362875409,104.496467393
BCH,2018-12-20,193.4517280939,132.5247884996,203.3076976601,123.0306180356
BCH,2018-12-21,187.5986876309,193.0619510286,223.1926512094,175.1883036832
BCH,2018-12-23,198.5599881494,193.9697854158,211.2501709454,185.2620709326
BCH,2018-12-24,187.1685450111,198.0970090672,211.1454941149,181.1257475847
BCH,2018-12-25,170.5853401761,184.4462422092,185.6504060623,159.5648126392
BCH,2018-12-26,174.7141139207,170.6415097818,186.2195786831,162.9642469397
BCH,2018-12-27,153.2016127919,174.3167344309,178.0457786546,149.5743391493
BCH,2018-12-28,164.0393043129,153.2648689643,173.0434875732,144.3543313584
BCH,2018-12-30,160.7730894,172.439568,175,160.14
BCH,2018-12-31,150.9436777209,160.52,163.51,149.8960104302
BCH,2019-01-02,159.4435700574,150.9086003597,164.6438355831,149.8784752509
BCH,2019-01-03,165.5461316488,159.3894199724,166.0359829338,159.1818893342
BCH,2019-01-04,162.3790053473,165.5460964287,173.4951711626,158.4174060432
BCH,2019-01-05,160.2666135265,161.3156564952,164.1914409509,155.1246430748
BCH,2019-01-06,159.6261112307,160.2459297204,164.6445094192,156.5929733626
BCH,2019-01-07,163.1227305539,159.3543521723,165.8359179575,157.5857170046
BCH,2019-01-08,158.9765871564,163.6256305456,165.3879048142,89.6810238366
BCH,2019-01-09,160.6874641963,158.9765870473,162.437678953,156.394358819
BCH,2019-01-10,158.5992726955,159.2420261307,160.2106942536,155.9457008881
BCH,2019-01-11,132.3933813206,158.5992722267,163.2815805111,128.9841659166
BCH,2019-01-12,127.7548805493,132.3934694381,133.4442394123,126.0414407103
BCH,2019-01-13,132.6757399567,127.9350985268,137.1914388815,126.767819036
BCH,2019-01-14,122.2470503416,132.6012818327,134.3228717586,121.5735770916
BCH,2019-01-15,132.0016430806,122.2470497714,135.6648785828,121.6487446412
BCH,2019-01-16,125.4866437143,132.0116603847,134.121981794,124.5779155793
BCH,2019-01-17,126.7781417195,125.4966258561,130.2459087088,125.2571774399
