date;close;tradecount
23/08/2020 00:00;332.120.000;78618
22/08/2020 00:00;336.200.000;108423
21/08/2020 00:00;325.280.000;198910
20/08/2020 00:00;344.290.000;93739
19/08/2020 00:00;334.870.000;177426
18/08/2020 00:00;357.440.000;157599
17/08/2020 00:00;377.620.000;189614
16/08/2020 00:00;388.000.000;244052
15/08/2020 00:00;372.280.000;253677
14/08/2020 00:00;326.060.000;117629
13/08/2020 00:00;313.650.000;96446
12/08/2020 00:00;302.530.000;85401
11/08/2020 00:00;300.480.000;137888
10/08/2020 00:00;323.650.000;133965
09/08/2020 00:00;302.720.000;62250
08/08/2020 00:00;306.490.000;61715
07/08/2020 00:00;301.040.000;143787
06/08/2020 00:00;308.900.000;99464
05/08/2020 00:00;305.450.000;77448
04/08/2020 00:00;303.630.000;85326
03/08/2020 00:00;304.490.000;109743
02/08/2020 00:00;294.410.000;244383
01/08/2020 00:00;330.380.000;158232
31/07/2020 00:00;309.320.000;93714
30/07/2020 00:00;304.700.000;105724
29/07/2020 00:00;302.330.000;141179
28/07/2020 00:00;299.410.000;148565
27/07/2020 00:00;284.720.000;147187
26/07/2020 00:00;271.210.000;83412
25/07/2020 00:00;272.890.000;74248
24/07/2020 00:00;259.490.000;47419
23/07/2020 00:00;265.260.000;52424
22/07/2020 00:00;265.740.000;46949
21/07/2020 00:00;262.320.000;46486
20/07/2020 00:00;256.180.000;46394
19/07/2020 00:00;258.450.000;51506
18/07/2020 00:00;250.260.000;28953
17/07/2020 00:00;249.490.000;32978
16/07/2020 00:00;249.990.000;49519
15/07/2020 00:00;253.650.000;39521
14/07/2020 00:00;255.920.000;45378
13/07/2020 00:00;255.300.000;85302
12/07/2020 00:00;261.710.000;58233
11/07/2020 00:00;261.940.000;55556
10/07/2020 00:00;262.210.000;65105
09/07/2020 00:00;265.040.000;84851
08/07/2020 00:00;267.990.000;88215
07/07/2020 00:00;255.890.000;56115
06/07/2020 00:00;261.060.000;78597
05/07/2020 00:00;240.720.000;54097
04/07/2020 00:00;245.990.000;53081
03/07/2020 00:00;241.560.000;53868
02/07/2020 00:00;235.760.000;50185
01/07/2020 00:00;237.730.000;39691
30/06/2020 00:00;236.800.000;29069
29/06/2020 00:00;238.000.000;44546
28/06/2020 00:00;236.680.000;35387
27/06/2020 00:00;233.180.000;61071
26/06/2020 00:00;248.100.000;49656
25/06/2020 00:00;247.990.000;37777
