date;close;tradecount;close
17/04/2020 00:00;7,02755E+11;537554;7101,94
16/04/2020 00:00;7,10194E+11;971163;6621,24
15/04/2020 00:00;6,62124E+11;581374;6868,7
14/04/2020 00:00;6,8687E+11;608665;6837,91
13/04/2020 00:00;6,83791E+11;804179;6903,79
12/04/2020 00:00;6,90379E+11;648323;6876,83
11/04/2020 00:00;6,87683E+11;484618;6858,92
10/04/2020 00:00;6,85892E+11;949050;7283,54
09/04/2020 00:00;7,28354E+11;686207;7361,28
08/04/2020 00:00;7,36128E+11;750516;7197,32
07/04/2020 00:00;7,19732E+11;924436;7329,9
06/04/2020 00:00;7,3299E+11;956586;6772,78
05/04/2020 00:00;6,77278E+11;506433;6856,99
04/04/2020 00:00;6,85699E+11;659051;6734,1
03/04/2020 00:00;6,7341E+11;840456;6794,09
02/04/2020 00:00;6,79409E+11;1101043;6642,92
01/04/2020 00:00;6,64292E+11;758061;6410,44
31/03/2020 00:00;6,41044E+11;538231;6394,38
30/03/2020 00:00;6,39438E+11;784034;5881,42
29/03/2020 00:00;5,88142E+11;496709;6236,65
28/03/2020 00:00;6,23665E+11;725588;6359,11
27/03/2020 00:00;6,35911E+11;643631;6737,36
26/03/2020 00:00;6,73736E+11;668467;6677,43
25/03/2020 00:00;6,67743E+11;912179;6744,72
24/03/2020 00:00;6,74472E+11;1012669;6467,31
23/03/2020 00:00;6,46731E+11;1099406;5816,19
22/03/2020 00:00;5,81619E+11;952259;6186,98
21/03/2020 00:00;6,18698E+11;990974;6208,36
20/03/2020 00:00;6,20836E+11;1580069;6162,37
19/03/2020 00:00;6,16237E+11;1403608;5393,04
18/03/2020 00:00;5,39304E+11;962843;5312,64
17/03/2020 00:00;5,31264E+11;1069217;5028,97
16/03/2020 00:00;5,02897E+11;1608176;5361,3
15/03/2020 00:00;5,3613E+11;1037714;5172,06
14/03/2020 00:00;5,17206E+11;1106125;5578,6
13/03/2020 00:00;5,5786E+11;2309830;4800
12/03/2020 00:00;4,8E+11;1770812;7934,52
11/03/2020 00:00;7,93452E+11;699401;7894,56
10/03/2020 00:00;7,89456E+11;737528;7929,87
09/03/2020 00:00;7,92987E+11;929234;8033,31
08/03/2020 00:00;8,03331E+11;740741;8886,66
07/03/2020 00:00;8,88666E+11;485400;9131,88
06/03/2020 00:00;9,13188E+11;493216;9054,68
05/03/2020 00:00;9,05468E+11;619552;8750,87
