date;close;tradecount
15/11/2020 00:00;44.808.000.000;311451
14/11/2020 00:00;46.089.000.000;350772
13/11/2020 00:00;47.643.000.000;427363
12/11/2020 00:00;46.239.000.000;411840
11/11/2020 00:00;46.309.000.000;560360
10/11/2020 00:00;45.034.000.000;384228
09/11/2020 00:00;44.432.000.000;469947
08/11/2020 00:00;45.430.000.000;354341
07/11/2020 00:00;43.521.000.000;674858
06/11/2020 00:00;45.591.000.000;666505
05/11/2020 00:00;41.669.000.000;513574
04/11/2020 00:00;40.249.000.000;392310
03/11/2020 00:00;38.788.000.000;280412
02/11/2020 00:00;38.302.000.000;290370
01/11/2020 00:00;39.667.000.000;181369
31/10/2020 00:00;38.646.000.000;218528
30/10/2020 00:00;38.249.000.000;289735
29/10/2020 00:00;38.713.000.000;248649
28/10/2020 00:00;38.823.000.000;348661
27/10/2020 00:00;40.345.000.000;286217
26/10/2020 00:00;39.252.000.000;329493
25/10/2020 00:00;40.586.000.000;177854
24/10/2020 00:00;41.214.000.000;182680
23/10/2020 00:00;40.911.000.000;293671
22/10/2020 00:00;41.398.000.000;412013
21/10/2020 00:00;39.038.000.000;450963
20/10/2020 00:00;36.852.000.000;251051
19/10/2020 00:00;37.930.000.000;224887
18/10/2020 00:00;37.811.000.000;133043
17/10/2020 00:00;36.832.000.000;126045
16/10/2020 00:00;36.550.000.000;255775
15/10/2020 00:00;37.764.000.000;228454
14/10/2020 00:00;37.869.000.000;214375
13/10/2020 00:00;38.104.000.000;239460
12/10/2020 00:00;38.651.000.000;309500
11/10/2020 00:00;37.416.000.000;164475
10/10/2020 00:00;37.052.000.000;253825
09/10/2020 00:00;36.502.000.000;241168
08/10/2020 00:00;35.095.000.000;220053
07/10/2020 00:00;34.158.000.000;195112
06/10/2020 00:00;34.075.000.000;240812
05/10/2020 00:00;35.362.000.000;145787
04/10/2020 00:00;35.237.000.000;138736
03/10/2020 00:00;34.595.000.000;136755
02/10/2020 00:00;34.560.000.000;286023
01/10/2020 00:00;35.285.000.000;288354
30/09/2020 00:00;35.983.000.000;173910
29/09/2020 00:00;35.979.000.000;214988
28/09/2020 00:00;35.396.000.000;261317
27/09/2020 00:00;35.749.000.000;230526
